epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/returns,test/success_rate,train/episode,train/returns,train/success_rate
0,0.9888749,0.1328202,0.18925484,0.10073352,200,-2.5570092,-98.43,0.02,200,-98.43,0.02
1,0.98776513,0.13976155,0.19024196,0.09330549,400,-4.8810225,-98.86,0.01,400,-98.83,0.015
2,0.98773485,0.13090053,0.19016224,0.091079734,600,-6.6167164,-99.165,0.01,600,-99.165,0.01
3,0.9882342,0.1275771,0.19006081,0.09086219,800,-8.970809,-99.28,0.01,800,-99.28,0.01
4,0.9891164,0.12792322,0.1904412,0.089249685,1000,-10.7795725,-99.36,0.01,1000,-99.36,0.01
5,0.98815703,0.12544735,0.19010232,0.088219225,1200,-12.777378,-99.835,0.01,1200,-99.835,0.01
6,0.98742527,0.12054023,0.18998756,0.08588241,1400,-14.49645,-99.295,0.005,1400,-99.295,0.005
7,0.98727965,0.116673596,0.18980107,0.085266545,1600,-16.614517,-99.12,0.01,1600,-99.12,0.01
8,0.9873461,0.11867169,0.18990496,0.08493136,1800,-17.703901,-99.625,0.005,1800,-99.68,0.0
9,0.9868503,0.11679563,0.18989012,0.08355898,2000,-20.57633,-99.575,0.005,2000,-99.575,0.005
10,0.987099,0.12169541,0.18998437,0.08344053,2200,-21.708994,-98.585,0.02,2200,-98.535,0.025
11,0.9872448,0.12357309,0.1898202,0.08437169,2400,-24.41551,-99.355,0.01,2400,-99.355,0.01
12,0.9869406,0.12345602,0.18987013,0.084090635,2600,-26.331003,-99.635,0.01,2600,-99.635,0.01
13,0.98665625,0.121691585,0.18985657,0.082922354,2800,-27.462166,-99.515,0.005,2800,-99.515,0.005
14,0.9864271,0.121099,0.18992038,0.082263485,3000,-29.097265,-99.5,0.005,3000,-99.5,0.005
15,0.9863772,0.12228084,0.18996014,0.08198837,3200,-30.270962,-98.77,0.015,3200,-98.77,0.015
16,0.98639995,0.121017754,0.19006656,0.08096131,3400,-32.017323,-98.57,0.025,3400,-98.57,0.025
17,0.9862278,0.11940653,0.19005838,0.08026399,3600,-34.17153,-99.465,0.01,3600,-99.465,0.01
18,0.98646086,0.119869865,0.19014709,0.08012624,3800,-30.508965,-99.995,0.0,3800,-99.995,0.0
19,0.9864448,0.12046222,0.19010296,0.08051756,4000,-30.996975,-98.55,0.015,4000,-98.55,0.015
20,0.9864072,0.120366104,0.19007577,0.080264844,4200,-31.929619,-99.38,0.005,4200,-99.405,0.0
21,0.9863022,0.119532235,0.19006357,0.08005173,4400,-32.664066,-98.925,0.01,4400,-98.925,0.01
22,0.98648876,0.120653786,0.19009256,0.07996316,4600,-33.341602,-98.62,0.01,4600,-98.62,0.01
23,0.9865215,0.12047588,0.19007504,0.07964511,4800,-36.306236,-99.655,0.005,4800,-99.655,0.005
24,0.98665947,0.120686375,0.19008052,0.07938617,5000,-38.33221,-99.96,0.005,5000,-99.96,0.005
25,0.98656136,0.120996386,0.19005816,0.079070404,5200,-38.731842,-100.0,0.0,5200,-100.0,0.0
26,0.9865589,0.12069726,0.19004984,0.078808784,5400,-40.121796,-99.305,0.015,5400,-99.305,0.015
27,0.9866069,0.12064248,0.19004694,0.07851964,5600,-43.017784,-98.69,0.015,5600,-98.69,0.015
28,0.9865263,0.119501434,0.190011,0.07828031,5800,-41.200184,-99.355,0.005,5800,-99.355,0.005
29,0.9864717,0.11962076,0.18995734,0.0781126,6000,-43.019405,-98.745,0.015,6000,-98.745,0.015
30,0.9863394,0.11934561,0.18989189,0.07798509,6200,-42.907955,-99.92,0.0,6200,-99.92,0.0
31,0.9863007,0.11934749,0.18985009,0.07790731,6400,-44.016647,-99.215,0.01,6400,-99.215,0.01
32,0.9862556,0.11864834,0.1898256,0.077561334,6600,-45.96697,-99.545,0.005,6600,-99.545,0.005
33,0.9863138,0.11806581,0.18983427,0.07723199,6800,-46.229233,-99.45,0.01,6800,-99.5,0.005
34,0.9862948,0.11752278,0.18981752,0.077359095,7000,-46.858456,-99.6,0.005,7000,-99.6,0.005
35,0.9862054,0.117033504,0.18979314,0.07705115,7200,-48.333477,-99.205,0.01,7200,-99.205,0.01
36,0.9860911,0.11637434,0.18975604,0.07728831,7400,-50.784744,-99.685,0.005,7400,-99.615,0.005
37,0.9861266,0.116220355,0.18975548,0.07730105,7600,-52.587086,-99.445,0.01,7600,-99.445,0.01
38,0.98622113,0.11690459,0.18981516,0.07749739,7800,-52.67753,-99.02,0.01,7800,-99.02,0.01
39,0.9861916,0.116972975,0.18982969,0.07750125,8000,-52.42423,-98.39,0.02,8000,-98.39,0.02
40,0.9860762,0.11686341,0.18981645,0.07748206,8200,-53.321167,-98.595,0.015,8200,-98.595,0.015
41,0.9860079,0.116384916,0.18981948,0.07724857,8400,-55.41727,-99.045,0.01,8400,-99.045,0.01
42,0.986039,0.11656791,0.18986025,0.07714893,8600,-53.896,-98.66,0.015,8600,-98.66,0.015
43,0.9861207,0.11677066,0.18989041,0.07706974,8800,-57.56135,-99.305,0.01,8800,-99.305,0.01
44,0.98617935,0.11665835,0.18992086,0.07697006,9000,-58.401974,-99.44,0.01,9000,-99.44,0.01
45,0.98616856,0.11689687,0.18994889,0.07687962,9200,-57.38606,-99.385,0.005,9200,-99.385,0.005
46,0.9861412,0.116787575,0.18995681,0.07706894,9400,-59.74142,-99.24,0.01,9400,-99.24,0.01
47,0.9863271,0.117153846,0.18999605,0.07724036,9600,-61.666782,-98.615,0.02,9600,-98.615,0.02
48,0.98631257,0.11715543,0.19000164,0.07734608,9800,-60.989716,-99.2,0.01,9800,-99.2,0.01
49,0.98617285,0.116968445,0.1899477,0.07758118,10000,-63.10712,-99.29,0.01,10000,-99.29,0.01
50,0.98612785,0.11669707,0.18993004,0.07760407,10200,-62.919838,-99.26,0.01,10200,-99.26,0.01
51,0.986228,0.11709205,0.18995003,0.07771914,10400,-62.950005,-99.69,0.0,10400,-99.69,0.0
52,0.9862551,0.11683897,0.18996191,0.07773852,10600,-64.883545,-99.275,0.01,10600,-99.275,0.01
53,0.9861646,0.11649537,0.18993524,0.077615336,10800,-63.827847,-99.215,0.01,10800,-99.215,0.01
54,0.9860692,0.1160329,0.18992926,0.077452324,11000,-65.547195,-99.04,0.01,11000,-99.04,0.01
55,0.9860429,0.11579756,0.18991724,0.07727443,11200,-65.07793,-99.445,0.01,11200,-99.445,0.01
56,0.98610455,0.11625054,0.18993363,0.07718642,11400,-65.43911,-98.92,0.01,11400,-98.92,0.01
57,0.9860421,0.11588326,0.18994796,0.0773767,11600,-67.06465,-98.39,0.02,11600,-98.39,0.02
58,0.98603225,0.11577637,0.1899465,0.07730392,11800,-67.648285,-99.585,0.005,11800,-99.585,0.005
59,0.9860466,0.11602486,0.18993159,0.07740215,12000,-66.780136,-99.29,0.015,12000,-99.29,0.015
60,0.98613185,0.116321445,0.18999162,0.07733661,12200,-69.039085,-99.66,0.005,12200,-99.66,0.005
61,0.9861284,0.11646038,0.1900142,0.077341735,12400,-68.93933,-99.825,0.005,12400,-99.825,0.005
62,0.9861724,0.116722725,0.1900216,0.077394165,12600,-68.49985,-99.68,0.0,12600,-99.68,0.0
