epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/returns,test/success_rate,train/episode,train/returns,train/success_rate
0,0.99152654,0.13964055,0.19504794,0.11904355,200,-2.6281762,-98.43,0.02,200,-98.43,0.02
1,0.98942953,0.1428724,0.19488493,0.108633734,400,-5.0331993,-98.86,0.01,400,-98.835,0.01
2,0.9890721,0.13330302,0.1948421,0.10175753,600,-6.875107,-99.165,0.01,600,-98.345,0.04
3,0.98926616,0.12952165,0.19490227,0.101076916,800,-9.100704,-99.28,0.01,800,-98.84,0.03
4,0.98998624,0.12950571,0.1950337,0.09880038,1000,-10.329164,-99.36,0.01,1000,-99.1,0.03
5,0.989193,0.12717581,0.19507201,0.09768275,1200,-12.212516,-99.835,0.01,1200,-98.935,0.045
6,0.9883225,0.122108184,0.19495344,0.09678437,1400,-14.411177,-99.295,0.005,1400,-98.415,0.045
7,0.9880941,0.11815249,0.19476815,0.09674481,1600,-16.841917,-99.12,0.01,1600,-98.505,0.035
8,0.9881856,0.12015758,0.19460583,0.09753179,1800,-17.230848,-99.625,0.005,1800,-98.92,0.035
9,0.9875867,0.118299074,0.19435008,0.098914556,2000,-19.109535,-99.575,0.005,2000,-98.45,0.035
10,0.9878487,0.12318003,0.19418316,0.101053834,2200,-20.123587,-98.585,0.02,2200,-97.065,0.075
11,0.9880302,0.12529469,0.1940596,0.102233805,2400,-23.185076,-99.355,0.01,2400,-98.885,0.03
12,0.98777634,0.12510888,0.19379668,0.10239901,2600,-23.433949,-99.635,0.01,2600,-99.27,0.03
13,0.9875121,0.12335086,0.19349587,0.10365148,2800,-25.082447,-99.515,0.005,2800,-98.695,0.03
14,0.9872434,0.12267282,0.19323233,0.104916856,3000,-26.309494,-99.5,0.005,3000,-99.055,0.025
15,0.98713404,0.12378428,0.19305761,0.10591698,3200,-27.588856,-98.77,0.015,3200,-98.14,0.05
16,0.9871189,0.122508176,0.19281061,0.10660329,3400,-28.933186,-98.57,0.025,3400,-98.07,0.05
17,0.98696923,0.12087435,0.19246763,0.10773977,3600,-30.702557,-99.465,0.01,3600,-98.935,0.035
18,0.98717016,0.12130497,0.19238201,0.10876258,3800,-31.335732,-99.995,0.0,3800,-98.93,0.06
19,0.9871137,0.12185467,0.19219644,0.10950615,4000,-33.07907,-98.55,0.015,4000,-96.045,0.06
20,0.9870309,0.12175101,0.19206192,0.11033151,4200,-33.3043,-99.19,0.01,4200,-96.12,0.105
